아파트코드,아파트명,평형(공용),전용,방수,화장실수,드레스룸,다용도실,테라스,평면도 주소
A10027195,위례중앙푸르지오아파트,111,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20141216_73/hscp_img_1418699800721pwm7c_JPEG/photoinfra_1418699800055.jpg?type=m562
A10027195,위례중앙푸르지오아파트,112,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20141216_255/hscp_img_1418699740312TY5av_JPEG/photoinfra_1418699739675.jpg?type=m562
A10027195,위례중앙푸르지오아파트,113,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20141216_68/hscp_img_1418699702180kFEw2_JPEG/photoinfra_1418699701477.jpg?type=m562
A10027195,위례중앙푸르지오아파트,114,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20220513_184/land_naver_1652425621447PAFFM_JPEG/10917433202205131607012721430513160701383000000.jpg?type=m562
A10027195,위례중앙푸르지오아파트,134,102,4,2,1,0,,https://landthumb-phinf.pstatic.net/20141216_159/hscp_img_1418699445386Xg0lm_JPEG/photoinfra_1418699444560.jpg?type=m562
A10027195,위례중앙푸르지오아파트,139,106,4,2,1,0,,https://landthumb-phinf.pstatic.net/20220513_115/land_naver_1652426065528N25TA_JPEG/10917436202205131614253992600513161425498000000.jpg?type=m562
A10027195,위례중앙푸르지오아파트,143,110,4,2,1,0,,https://landthumb-phinf.pstatic.net/20141216_187/hscp_img_14186994726338EJGJ_JPEG/photoinfra_1418699471978.jpg?type=m562
A10027195,위례중앙푸르지오아파트,144,110,4,2,1,0,,https://landthumb-phinf.pstatic.net/20141216_140/hscp_img_1418699515892Bmkfn_JPEG/photoinfra_1418699515165.jpg?type=m562
A10027195,위례중앙푸르지오아파트,202,152,4,2,1,0,1,https://landthumb-phinf.pstatic.net/20141216_150/hscp_img_1418699575569xQWqg_JPEG/photoinfra_1418699574887.jpg?type=m562
A10027195,위례중앙푸르지오아파트,214,161,5,3,1,0,1,https://landthumb-phinf.pstatic.net/20141216_174/hscp_img_1418699615346xtoCm_JPEG/photoinfra_1418699614659.jpg?type=m562
A10027195,위례중앙푸르지오아파트,255,194,4,3,1,0,1,https://landthumb-phinf.pstatic.net/20141216_109/hscp_img_1418699655355NCF0e_JPEG/photoinfra_1418699654658.jpg?type=m562
A10027195,위례중앙푸르지오아파트,262,196,5,3,1,0,1,https://landthumb-phinf.pstatic.net/20220513_259/land_naver_1652426272115KtWs9_JPEG/1091744820220513161751931559051316175274000000.jpg?type=m562
A10027744,위례아이파크아파트,115,87,3,2,1,1,,https://landthumb-phinf.pstatic.net/20131104_31/hscp_img_1383556099801v2GEr_JPEG/photoinfra_1383556099567.jpg?type=m562
A10027744,위례아이파크아파트,116,87,3,2,1,0,,https://landthumb-phinf.pstatic.net/20131104_215/hscp_img_1383556148788RxwCI_JPEG/photoinfra_1383556148522.jpg?type=m562
A10027744,위례아이파크아파트,131,100,4,2,1,0,,https://landthumb-phinf.pstatic.net/20131104_214/hscp_img_138355501208005CFp_JPEG/photoinfra_1383555011849.jpg?type=m562
A10027744,위례아이파크아파트,132,100,4,2,1,0,,https://landthumb-phinf.pstatic.net/20131104_198/hscp_img_13835550520268klxE_JPEG/photoinfra_1383555051771.jpg?type=m562
A10027744,위례아이파크아파트,142,108,4,2,1,0,,https://landthumb-phinf.pstatic.net/20131104_272/hscp_img_1383555125249DENBp_JPEG/photoinfra_1383555125021.jpg?type=m562
A10027744,위례아이파크아파트,151,114,4,2,1,0,,https://landthumb-phinf.pstatic.net/20131104_7/hscp_img_1383555188467Bgs0k_JPEG/photoinfra_1383555188221.jpg?type=m562
A10027744,위례아이파크아파트,175,128,4,2,1,0,1,https://landthumb-phinf.pstatic.net/20131104_64/hscp_img_1383556014025YEaGm_JPEG/photoinfra_1383556013787.jpg?type=m562
A10027461,힐스테이트 송파위례아파트,130,101,4,2,1,1,,https://landthumb-phinf.pstatic.net/20140213_117/hscp_img_1392279201391DGbae_JPEG/photoinfra_1392279201076.jpg?type=m562
A10027461,힐스테이트 송파위례아파트,144,112,4,2,0,0,,https://landthumb-phinf.pstatic.net/20140213_172/hscp_img_1392279263704xyhmd_JPEG/photoinfra_1392279263469.jpg?type=m562
A10027461,힐스테이트 송파위례아파트,195,149,5,3,1,0,1,https://landthumb-phinf.pstatic.net/20210621_16/land_naver_1624242371257J7EwB_JPEG/10780713202106211126111316140621112611229000000.jpg?type=m562
A10027632,송파 와이즈더샵,126,96,3,2,1,0,,https://landthumb-phinf.pstatic.net/20140114_234/hscp_img_13896810971944gdp5_JPEG/photoinfra_1389681096883.jpg?type=m562
A10027632,송파 와이즈더샵,127,96,3,2,1,0,,https://landthumb-phinf.pstatic.net/20140117_41/hscp_img_1389954318638XM1ta_JPEG/photoinfra_1389954318375.jpg?type=m562
A10027632,송파 와이즈더샵,128,97,3,2,1,1,,https://landthumb-phinf.pstatic.net/20140114_157/hscp_img_13896808864076phc0_JPEG/photoinfra_1389680886170.jpg?type=m562
A10027632,송파 와이즈더샵,129,96,3,2,1,0,,https://landthumb-phinf.pstatic.net/20140114_81/hscp_img_13896813069410AKYE_JPEG/photoinfra_1389681306680.jpg?type=m562
A10027632,송파 와이즈더샵,154,99,4,2,1,0,,https://landthumb-phinf.pstatic.net/20140114_58/hscp_img_1389681351672keymC_JPEG/photoinfra_1389681351396.jpg?type=m562
A10027553,위례2차아이파크아파트,118,90,3,2,1,0,,https://landthumb-phinf.pstatic.net/20131216_34/hscp_img_1387180874867tOmG1_JPEG/photoinfra_1387180874628.jpg?type=m562
A10027553,위례2차아이파크아파트,141,108,4,2,1,1,1,https://landthumb-phinf.pstatic.net/20131216_157/hscp_img_1387180681393T2CCT_JPEG/photoinfra_1387180681135.jpg?type=m562
A10027553,위례2차아이파크아파트,149,115,4,2,1,0,,https://landthumb-phinf.pstatic.net/20131216_127/hscp_img_1387180779762Yna9o_JPEG/photoinfra_1387180779541.jpg?type=m562
A13813002,오금우방,83,59,3,1,0,0,,https://landthumb-phinf.pstatic.net/20120124_290/land_system_1327416330660rptsi_JPEG/117_3756_1_82A_GA1_1286519372261.jpg?type=m562
A13813002,오금우방,107,84,3,2,0,0,,https://landthumb-phinf.pstatic.net/20120124_265/land_system_1327416336495Rtkst_JPEG/117_3756_4_105_GA1_1286519425988.jpg?type=m562
